Sample_ID,Cancer_Type,Label,BRCA1,BRCA2,ERBB2,ESR1,PGR,GATA3,FOXA1,EGFR,KRAS,ALK,MET,ROS1,STK11,KEAP1,BRAF,TP53,PIK3CA,MYC,PTEN,CDK1,UHRF1,HMMR,CEP55,ASPM,RAD51AP1,DLGAP5,KIF11,PBK,HMGB2,CDKN2A,SMAD4,RB1,ATM,APC,VHL,RET,CTNNB1,FGFR1,FGFR2,FGFR3,NOTCH1,JAK2,STAT3,MTOR,AKT1,CCND1,CDK4,CDK6,MDM2,BCL2
TCGA-NORM-001,Normal,0,5.1563,6.1687,5.5583,5.1816,3.6779,4.0193,3.9205,6.3813,5.4771,4.7644,4.1911,5.9605,5.5268,4.7424,4.864,4.8226,4.2917,5.0153,5.0993,5.0797,5.1304,4.2233,4.1449,4.2677,5.369,6.3377,4.4069,5.5829,5.466,3.8119,5.4992,5.0673,4.127,6.7916,4.9455,6.1483,4.7093,4.0803,5.5466,4.0739,4.1696,5.2501,4.7407,5.7673,4.2055,5.2318,5.0977,5.2921,4.9644,4.6377
TCGA-NORM-002,Normal,0,4.8677,6.5275,5.2945,5.1696,4.1668,3.6846,4.261,6.0231,5.3248,5.4522,3.4084,5.9445,5.6772,4.1061,4.3274,4.5853,5.5181,5.233,5.0662,4.6072,4.4826,4.295,4.6698,5.9145,4.9168,5.8631,4.4237,4.6054,5.8176,4.4406,5.6926,3.9659,4.7744,5.4567,6.3885,6.7642,4.2244,3.96,5.5502,4.7418,3.5707,5.1202,3.5976,6.2136,4.1556,6.155,4.3333,4.9992,5.5688,3.8528
TCGA-NORM-003,Normal,0,4.9263,6.6798,4.887,5.4001,4.4602,4.695,3.5712,5.3114,5.5573,5.6914,4.158,6.2897,5.5254,4.5717,4.5319,4.082,5.5089,5.3677,4.4142,4.9362,4.9075,4.6611,5.1641,4.4367,5.4369,5.9131,4.8092,5.9849,5.1929,3.763,4.9363,4.008,4.1084,6.2411,6.2489,6.1507,4.676,4.869,5.3862,6.1924,4.55,4.7037,3.5938,6.2176,4.4688,5.7788,4.8987,5.1114,4.8217,3.725
TCGA-NORM-004,Normal,0,4.6231,6.477,5.7067,4.7565,4.4212,4.5166,3.73,5.9748,5.3486,5.0434,4.2063,6.3862,6.3187,4.9414,3.7801,3.9815,4.9011,5.3857,5.1821,6.3744,5.603,4.8179,5.072,5.0991,4.8615,6.0689,4.0915,5.0247,5.0849,4.139,6.3782,3.5349,4.4519,5.3618,5.912,6.2685,4.6991,3.7299,5.1834,5.2742,3.9398,5.1868,4.0962,5.7073,5.5341,5.7428,3.7745,5.2281,4.905,4.7903
TCGA-NORM-005,Normal,0,4.4674,6.0399,5.8376,5.7066,3.8031,4.1927,3.9141,5.6116,6.1169,5.74,3.4779,6.5468,6.7863,4.9318,3.7163,4.1856,5.2394,4.836,5.15,4.9893,4.929,4.2801,3.1841,4.345,4.8897,5.1659,5.1739,4.4878,5.1053,4.161,5.9852,3.729,4.6665,6.0922,5.6827,5.9864,4.7597,3.9448,5.5367,4.7949,4.3196,5.3873,4.7894,5.4435,5.5292,4.5791,4.6175,5.4089,5.3292,4.1265
TCGA-NORM-006,Normal,0,4.7303,5.8697,5.3452,5.6994,4.5039,4.0314,4.5326,6.0439,5.6882,5.8411,3.6722,5.8817,6.1677,4.7418,4.3906,4.4563,5.2443,4.8883,5.1965,4.5497,5.2481,4.8013,5.0142,5.1721,5.5908,5.7368,4.7462,4.9917,5.4492,4.0436,5.3802,4.643,3.7749,7.0291,5.6717,5.2321,5.1913,4.5711,5.7862,5.2511,4.263,4.6856,4.1098,5.6958,5.0081,5.3914,4.3143,4.9995,5.3886,4.153
TCGA-NORM-007,Normal,0,4.454,6.2012,5.7206,5.0889,4.1313,4.4476,3.4761,5.2722,4.9992,5.4617,4.1852,6.7977,6.2173,4.3952,4.3915,3.9524,4.661,5.0246,5.0955,4.2685,5.5798,4.9966,4.5938,4.9868,5.3139,5.5468,4.5401,5.137,5.3473,3.7543,5.3476,4.5993,4.7961,6.5192,7.0933,5.4332,5.0627,4.2974,6.4907,4.6046,3.8906,4.8197,3.1199,5.7639,4.2277,5.5252,4.8396,5.9884,5.6305,4.1471
TCGA-NORM-008,Normal,0,4.4197,6.3129,5.0163,6.1412,4.874,4.1321,3.3569,6.5148,5.2709,6.1148,3.3278,5.8641,5.8337,4.4883,4.1975,4.6838,4.1889,5.0904,5.0044,4.8722,5.6663,3.8008,3.9524,5.381,5.1529,5.3906,5.1373,5.1834,5.834,4.1326,6.2639,5.1651,4.0311,6.5248,6.4148,6.3944,4.2359,4.5236,5.9816,4.1769,3.736,4.1717,3.9544,6.3234,5.2454,5.4909,5.4186,4.5231,4.4362,4.3817
TCGA-NORM-009,Normal,0,4.9968,6.0769,4.68,5.2769,3.7562,4.6445,4.2928,5.4826,5.0912,5.0811,4.0171,6.5636,5.3878,4.694,4.1614,4.0467,4.6212,4.6886,4.7011,4.1017,6.2302,4.3228,4.3278,4.9023,4.9528,5.628,4.7157,5.4722,5.0646,3.8431,5.2128,3.3393,3.4613,6.7026,6.8646,5.6664,4.9296,4.3549,6.8908,5.4721,4.2109,4.6594,3.3528,6.0921,4.229,4.8175,4.3948,4.6575,5.962,4.8034
TCGA-NORM-010,Normal,0,4.8204,6.7575,5.6452,4.9295,5.0286,4.5857,3.661,5.8199,4.9284,4.9355,4.4621,6.993,5.202,4.7205,4.1072,4.1843,4.4028,4.7657,4.9721,4.2668,5.4678,4.2843,4.5352,4.3976,4.7438,6.0673,4.6647,4.6914,5.348,4.4403,4.5854,4.6197,3.8449,6.3443,5.7809,4.9663,3.9378,4.2365,5.6222,4.5614,4.5559,4.3417,4.0459,5.4555,4.276,5.4789,4.2986,4.9711,5.6556,4.1471
TCGA-NORM-011,Normal,0,5.2,5.5832,5.8488,5.9658,3.231,3.9846,4.3875,5.8142,5.4895,5.286,4.0843,6.0637,6.3569,4.5816,4.5519,4.2181,4.4499,4.9598,5.1278,4.4513,5.4765,5.2408,5.0347,4.6593,5.5439,5.5438,3.5221,4.6777,4.4615,3.944,5.3449,5.1295,4.2902,5.989,6.4976,4.7835,4.7762,4.5618,4.8399,5.483,4.4208,4.9025,4.3604,7.0223,4.6512,5.5692,4.4791,4.7617,5.5764,4.0214
TCGA-NORM-012,Normal,0,4.8562,5.8766,5.8259,5.4672,4.8101,4.1137,4.0063,5.4651,5.1225,5.7275,4.3859,5.7188,6.2227,5.0772,4.5861,5.248,4.3211,4.5944,4.1499,5.3139,5.6405,4.2819,4.7687,4.2995,6.1039,5.7855,4.4885,5.4579,5.5198,4.2029,4.9809,4.5873,4.99,6.693,6.8413,5.5484,4.2248,4.1583,5.5304,5.4607,3.5069,5.7777,4.0046,5.8084,4.1139,4.7129,5.0562,5.1771,4.6223,3.8239
TCGA-NORM-013,Normal,0,4.6729,6.8426,5.4936,4.6406,4.2327,4.2205,2.9142,5.8812,5.2185,5.8711,4.8773,6.6408,5.7104,3.9692,5.558,4.4301,4.6756,5.1436,5.0394,4.5757,5.0879,4.0608,4.628,4.5615,4.6826,5.7753,4.3245,5.8081,4.1104,4.5934,5.8973,3.4421,3.9889,5.9204,5.491,5.4285,4.1704,5.0034,5.9264,5.5405,4.5932,4.5813,3.8396,6.2207,4.0194,5.7784,4.5776,4.9755,5.5227,4.6066
TCGA-NORM-014,Normal,0,4.6616,6.6133,5.1239,5.5942,4.6101,4.2039,4.2745,5.3426,5.7383,5.4746,3.8101,6.6059,5.5144,3.8333,3.6995,4.6762,4.0931,5.9441,4.0134,5.4041,5.441,4.2634,4.3975,4.9856,4.9864,6.2239,4.4907,5.199,5.1397,4.0766,5.4751,3.6056,3.5364,6.422,6.2013,5.6957,4.6784,4.3713,5.2624,4.6181,4.3566,4.6491,4.2594,5.2343,5.0324,5.6702,4.801,5.5864,5.9522,4.8631
TCGA-NORM-015,Normal,0,3.9956,5.5158,5.3292,5.3288,4.5762,4.0166,4.2118,5.5657,5.0473,4.9248,3.6298,5.5255,5.3922,4.9413,3.9728,5.5881,4.8913,5.2376,4.564,4.9558,5.087,4.3618,5.7948,4.7628,5.5205,5.411,4.4235,5.9282,5.0212,4.9178,5.6551,4.122,4.4277,6.5252,6.4042,5.0719,4.3429,4.1035,5.4718,5.2476,4.3484,4.4885,4.2467,6.2753,4.8212,5.9439,5.061,5.3508,5.1712,3.6592
TCGA-NORM-016,Normal,0,5.0173,6.185,5.7326,4.7425,3.8568,4.8171,4.11,6.2123,5.3352,5.5711,4.4675,5.9016,5.8746,4.2591,4.2045,4.2644,4.7693,4.939,5.5154,4.2381,5.262,4.109,5.2939,4.8944,5.4677,5.0589,4.5595,5.5316,5.3403,4.5817,5.1038,5.0094,5.1776,5.9243,5.9239,6.4325,5.381,3.9796,5.3162,4.8415,3.6635,4.676,3.6238,5.655,4.5537,5.5629,5.3835,4.6949,5.6457,4.3104
TCGA-NORM-017,Normal,0,4.8017,6.3952,5.1052,5.4891,4.4181,4.5648,4.2579,7.0105,5.0355,5.3188,3.7649,5.8838,5.5445,5.0022,5.0392,4.1467,4.2948,5.3666,4.7018,4.9255,5.4374,3.6248,5.3391,5.6141,4.7276,5.5529,4.5679,5.2818,5.5997,5.0068,5.257,4.0159,3.5224,5.7586,6.1095,6.586,4.4372,4.3156,5.4979,5.5031,5.4056,4.8505,3.8554,6.4704,4.8762,6.2886,4.9485,4.9825,5.4686,4.9056
TCGA-NORM-018,Normal,0,5.1932,6.3198,6.0904,5.8432,4.9652,4.6351,4.0526,5.9716,5.8654,5.1901,4.2112,5.9568,5.8443,5.0424,4.486,4.4244,4.0574,5.4903,5.2407,5.6142,5.2076,4.4055,4.7549,5.5159,4.9605,5.8529,4.7128,5.2153,5.1024,4.1895,5.8197,3.9132,4.2029,5.7725,6.6622,5.093,4.4186,4.3846,6.2098,4.9387,4.0186,5.9359,3.424,5.011,4.7673,5.2316,4.2262,5.4629,5.3125,4.1528
TCGA-NORM-019,Normal,0,4.2479,6.4842,5.903,5.2724,5.1742,3.8616,3.4413,5.5942,5.3019,5.6673,3.9367,6.2922,5.2682,5.1168,4.363,4.9063,4.8236,5.36,5.2067,4.8422,5.6353,4.905,4.7312,5.125,4.963,6.3754,4.1349,5.9417,5.2852,3.4583,5.3942,4.0687,4.5214,5.7939,5.9236,4.9282,4.4666,3.1241,4.7926,5.3105,4.6221,5.2808,3.6405,5.979,4.5677,4.9363,5.3623,5.539,5.1033,4.4188
TCGA-NORM-020,Normal,0,4.9178,5.1728,5.4992,5.0102,3.8925,4.2167,4.9367,6.194,5.0654,5.8154,4.675,6.5499,5.8582,4.176,4.7142,4.5806,5.0722,5.4403,5.4226,4.3998,5.9389,4.3958,5.5766,4.4959,5.7845,5.8164,4.1461,4.9136,5.1592,4.2931,5.5719,4.117,4.1322,7.0516,6.9018,5.9748,4.6873,4.2689,5.7814,4.5081,4.1527,4.3385,4.2553,6.2917,4.3519,6.1658,4.1342,4.4852,5.3038,4.8779
TCGA-NORM-021,Normal,0,5.5818,5.8851,6.0958,5.2997,4.2656,4.7408,4.4213,5.1962,5.9869,6.1788,3.7638,6.3119,6.0537,4.5844,4.1524,4.1013,4.6578,5.6822,5.1949,4.4739,5.6933,3.025,5.1597,4.0231,4.8403,5.2235,3.8567,5.6537,5.0928,4.2581,5.3155,4.5898,4.1777,5.5102,6.5727,5.5563,3.9697,4.0222,6.1807,5.3509,4.1116,4.9322,3.9309,6.935,4.7412,5.6511,5.1494,5.2516,5.0862,4.3183
TCGA-NORM-022,Normal,0,4.7918,6.0748,5.9378,5.3404,4.6729,4.3069,4.1632,5.0064,5.7348,5.7137,4.4944,4.8305,6.7711,4.4043,4.8987,3.9355,4.9451,4.6804,4.6696,5.502,5.2603,4.4047,5.0342,5.0291,5.071,5.8916,5.5208,5.1054,5.3938,4.575,5.8341,4.9093,4.4305,5.5732,6.8594,5.2626,4.8063,3.8755,5.4765,5.1163,4.4131,5.2793,4.8018,6.2046,4.4594,5.8914,5.221,4.5917,5.4716,4.7222
TCGA-NORM-023,Normal,0,4.6901,6.7106,5.5429,5.3736,4.2654,4.3502,3.6345,5.2576,6.04,5.1766,3.5992,5.1648,5.5438,3.8718,5.1389,4.8579,4.3597,6.1681,5.3921,4.4945,4.2213,5.3378,4.0174,4.0656,5.4635,6.8253,5.0622,5.3851,5.571,4.4862,5.6781,4.5017,4.19,6.0594,5.7851,5.6522,3.9083,4.1706,5.0604,4.4717,4.3494,5.7158,4.4889,5.2938,4.124,5.8809,4.2436,5.0431,5.4503,3.9709
TCGA-NORM-024,Normal,0,4.8714,5.4913,5.3398,5.461,3.6264,4.5414,4.1189,6.1542,5.4232,6.1716,4.1016,5.9406,5.8864,4.7116,4.422,4.4218,4.3534,4.8562,4.3191,5.428,4.7863,3.9951,4.3194,5.2087,4.8706,6.2889,4.1362,5.2569,4.9274,5.0675,4.8022,4.5146,4.4283,6.2738,6.041,5.7201,4.6899,4.1487,5.9391,5.9631,4.0176,4.473,4.0359,7.1614,4.2077,6.1952,5.4407,4.895,5.4588,5.1395
TCGA-NORM-025,Normal,0,4.6534,6.0,5.3486,4.8604,4.0511,3.7924,4.1431,5.5591,5.4277,4.8576,4.1942,6.5089,4.9342,4.6355,4.9525,3.8592,5.422,5.343,4.633,4.6156,5.5973,4.3411,4.8852,4.3917,5.0796,5.0912,4.3892,4.7246,4.9723,4.6584,5.8277,4.6493,3.6516,5.9452,6.6703,5.8422,5.7138,4.3919,5.5917,4.8292,4.3286,5.0208,4.3943,6.431,4.2156,4.8585,3.8595,5.3727,4.7062,3.4379
TCGA-NORM-026,Normal,0,4.9988,7.2134,5.6077,5.6944,4.3801,4.2987,4.5414,5.775,5.4428,5.7025,3.7446,6.5802,5.7526,4.1271,4.6414,3.9992,4.682,5.1504,5.4389,4.8543,5.3348,4.6749,5.2683,5.057,5.008,5.1371,3.96,4.994,5.029,4.0181,5.3621,4.6135,4.1114,6.3065,6.1534,4.8895,4.2474,4.15,4.961,5.2383,4.9573,5.6378,3.9796,6.6713,4.6362,5.3059,4.4097,5.008,5.0281,4.4834
TCGA-NORM-027,Normal,0,4.8962,6.0929,5.807,5.8528,4.7705,3.675,2.9785,6.326,4.7074,5.4566,3.5187,5.3229,6.075,4.8088,4.1406,3.2375,4.4235,5.3308,4.2848,4.7232,5.3392,4.5676,4.6965,4.3681,5.5418,5.656,4.427,4.7113,5.1038,3.704,5.2588,5.1454,3.5258,5.3614,6.7864,5.6843,4.3691,4.6828,5.2328,5.79,4.5736,4.8698,5.0464,5.7279,4.9033,5.5922,5.2715,5.8468,5.2172,4.0676
TCGA-NORM-028,Normal,0,5.031,5.7866,6.5164,5.3785,4.1788,4.4263,3.5216,5.4684,5.8626,5.2622,3.5742,6.3753,6.3649,4.7907,4.8482,4.0629,4.0295,5.8301,4.8051,4.5278,5.9438,4.5572,4.8479,5.7802,4.7138,6.1449,4.4649,5.2522,5.9911,4.3307,5.5788,4.8578,3.9789,5.7099,5.6542,4.8936,5.5954,3.7184,5.4057,4.8438,4.4068,5.4565,4.4629,5.7381,4.4941,5.5847,4.5739,5.8675,5.4237,4.7374
TCGA-NORM-029,Normal,0,5.1223,6.6196,5.6918,4.7335,4.5231,4.0501,3.8899,6.1695,5.8797,5.5673,4.1843,6.8998,5.9397,5.6379,4.6545,3.6111,5.0083,5.326,5.5307,4.9436,5.2838,3.756,4.5487,4.4233,4.7421,5.9922,5.1907,5.3089,4.7652,4.3023,5.8751,4.1008,4.0828,6.0942,5.7712,6.0702,4.6157,4.4037,5.1059,4.7715,4.5936,4.9216,4.8528,5.8207,4.6704,5.8772,4.0475,4.3518,4.5162,4.9748
TCGA-NORM-030,Normal,0,4.5757,7.2428,5.3565,5.4001,5.0372,5.2459,5.0555,6.4494,5.7833,5.8244,4.3955,5.8858,5.4632,4.4656,4.3234,4.1995,4.9827,5.5844,4.9901,5.3056,4.8323,4.2197,4.3201,3.9661,4.9661,5.6726,5.1203,5.4152,4.8424,4.9365,5.8861,4.6371,4.0412,5.6558,5.9569,6.2684,5.5182,4.9093,5.2853,4.4645,4.3319,4.2936,4.2211,5.9341,4.3596,4.7399,4.9169,4.9044,4.6763,3.1142
